8 Puzzle Results
_________________________________________________________________________________________________________________________________________________________________________________________________________
|  index  |            Puzzle            | H1: Misplaced Steps | H1: Misplaced Expanded | H2: Manhattan Steps | H2: Manhattan Expanded | H3: Linear + Manhattan Steps | H3: Linear + Manhattan Expanded |
|    0    | [6, 4, 8, 2, 1, 3, 5, -1, 7] |         21          |          5802          |         21          |          243           |              21              |               188               |
|    1    | [6, 8, 7, 5, 3, 1, -1, 2, 4] |         26          |         51311          |         26          |          2217          |              26              |              1221               |
|    2    | [1, 6, 2, 5, 8, 3, -1, 7, 4] |         22          |          9558          |         22          |          564           |              22              |              1028               |
|    3    | [5, 8, 7, 3, 1, 6, 4, -1, 2] |         23          |         15286          |         23          |          529           |              23              |               278               |
|    4    | [-1, 6, 7, 1, 4, 3, 2, 8, 5] |         26          |         52490          |         26          |          2937          |              26              |              1353               |
|    5    | [1, 7, 4, 3, 8, 2, -1, 6, 5] |         10          |           25           |         10          |           12           |              10              |               12                |
|    6    | [3, 4, -1, 7, 2, 6, 8, 5, 1] |         18          |          1286          |         18          |           58           |              18              |               138               |
|    7    | [7, 4, 5, 3, 2, 6, 1, 8, -1] |         22          |          9536          |         22          |          705           |              22              |               501               |
|    8    | [1, 3, 5, 7, -1, 6, 8, 2, 4] |         20          |          4488          |         20          |          392           |              20              |              1327               |
|    9    | [8, 3, -1, 1, 6, 2, 5, 7, 4] |         22          |          9060          |         22          |          489           |              24              |               746               |
